packageName,className,methodName,apis
zemberek.apps.ner,EvaluateNer,"",[com.beust:jcommander]
zemberek.core.collections,Trie,getAll,[com.google.guava:guava]
zemberek.core.io,StringsTest,testIfAllHasTextExceptionIAE,[junit:junit]
zemberek.core.turkish,TurkishAlphabetTest,circumflexTest,[junit:junit]
zemberek.langid.train,Trainer,trainParallel,[com.google.guava:guava]
zemberek.lm,LmVocabularyTest,contains,[junit:junit]
zemberek.morphology.analysis,NounsTest,P2pl,[junit:junit]
zemberek.core.enums,StringEnumMap,getEnums,[com.google.guava:guava]
zemberek.core.math,FloatArraysTest,testSquare,[junit:junit]
zemberek.corpus,LuceneLemmaFilterTest,testMultiWordSearch,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
zemberek.normalization,CharacterGraphDecoderTest,nearKeyCheck,[junit:junit]
zemberek.phrase,MultiWordPhreaseList,processRaw,[com.google.guava:guava]
zemberek.core.collections,IntMapTest,expandsCorrectly,[junit:junit]
zemberek.core.enums,StringEnumMap,enumExists,[com.google.guava:guava]
zemberek.core.math,DoubleArraysTest,testFloorInPlace,[junit:junit]
zemberek.core.math,FloatArraysTest,testMultiply,[junit:junit]
zemberek.core.collections,IntMapTest,addingElementsFromAnotherIntMapMustBeFast,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,NounDerivationTest,A3plAfterZeroVerbDerivationTest,[junit:junit]
zemberek.morphology.generator,WordGeneratorTest,testGeneration2,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,AdjectiveDerivationTest,justlikeAdjTest,[junit:junit]
zemberek.morphology.analysis,NounDerivationTest,acquire,[junit:junit]
zemberek.morphology.analysis,StemTransitionsMapBased,getTransitionsAsciiTolerant,[com.google.guava:guava]
zemberek.morphology.lexicon,DictionarySerializer,loadFromResources,[com.google.guava:guava]
zemberek.core.embeddings,FastTextTrainer,train,[com.google.guava:guava]
zemberek.morphology.analysis,NounsTest,family2,[junit:junit]
zemberek.morphology.analysis,StemTransitionsMapBased,removeStemNode,[com.google.guava:guava]
zemberek.core.collections,TrieTest,generateRandomWords,[com.google.guava:guava]
zemberek.core.hash,MultiLevelMphfTest,stringKeys,"[com.google.guava:guava,junit:junit]"
zemberek.core.math,FloatArraysTest,testSum,[junit:junit]
zemberek.core.math,FloatArraysTest,testValidateArrays,[junit:junit]
zemberek.embedding.fasttext,FastTextTest,dbpediaClassificationTest,[junit:junit]
zemberek.morphology.analysis,PronounsTest,kimseQuantTest,[junit:junit]
zemberek.morphology.analysis,VerbsTest,necessity,[junit:junit]
zemberek.normalization,NormalizationScripts,getQuestionSuffixes,[com.google.guava:guava]
zemberek.tokenization,SpanTest,badInitialization2,[junit:junit]
zemberek.tokenization,TurkishTokenizerTest,testApostrophes,[junit:junit]
zemberek.apps.ner,NerAppBase,"",[com.beust:jcommander]
zemberek.core.io,SimpleTextReaderTest,iterableTest,[junit:junit]
zemberek.core.math,DoubleArraysTest,testAppendZerosExc,[junit:junit]
zemberek.morphology.analysis,NumeralTest,ordinalTest,[junit:junit]
zemberek.morphology.analysis,PronounsTest,bizSizTest,[junit:junit]
zemberek.tokenization,TurkishTokenizerTest,testNumbers,[junit:junit]
zemberek.apps.fasttext,TrainClassifier,"",[com.beust:jcommander]
zemberek.core.collections,HistogramTest,testMergePerformance,"[com.google.guava:guava,junit:junit]"
zemberek.langid,LanguageIndentifierTest,modelGroupTest,[junit:junit]
zemberek.morphology.ambiguity,AmbigiousContextExtractor,main,[com.google.guava:guava]
zemberek.morphology.analysis,QuestionTest,mıTest,[junit:junit]
zemberek.classification,ItemFindExperiment,createTestSet,[com.google.guava:guava]
zemberek.core.io,StringsTest,testAllEmpty,[junit:junit]
zemberek.core.math,DoubleArraysTest,serialization1D,[junit:junit]
zemberek.morphology.analysis,VerbsTest,a3plExceptionTest,[junit:junit]
zemberek.tokenization,TurkishSentenceExtractorTest,getSentences,[com.google.guava:guava]
zemberek.core.collections,TrieTest,distinctStems,[junit:junit]
zemberek.core.turkish,TurkishAlphabetTest,toAsciiTest,[junit:junit]
zemberek.lm.compression,SmoothLmTest,testNgramKeyExactMatch,"[com.google.guava:guava,junit:junit]"
zemberek.core.io,TestBytes,toHexWithZerosExceptionTest,[junit:junit]
zemberek.core.logging,LoggerTest,testLevel,[junit:junit]
zemberek.embedding.fasttext,FastTextTest,classificationTest,[junit:junit]
zemberek.langid.model,CompressedCharNgramModel,compress,[com.google.guava:guava]
zemberek.lm,LmVocabulary,"",[com.google.guava:guava]
zemberek.lm,LmVocabularyTest,simpleCheck,[junit:junit]
zemberek.morphology,TurkishMorphologyFunctionalTests,testAbbreviationVoicing_Issue_183,[junit:junit]
zemberek.morphology.apps,ZemberekNlpScripts,generateWords,[junit:junit]
zemberek.core.turkish,TurkishAlphabetTest,devoiceTest,[junit:junit]
zemberek.morphology.analysis,NounCompoundsTest,incorrect1,[junit:junit]
zemberek.morphology.analysis,StemTransitionsBase,generate,[com.google.guava:guava]
zemberek.morphology.apps,ZemberekNlpScripts,createZemberekVocabulary,[junit:junit]
zemberek.tokenization,TurkishTokenizerTest,testPunctuation,[junit:junit]
zemberek.tokenization,TurkishTokenizerTest,testTokenizeSentence,[junit:junit]
zemberek.corpus,CorpusDbTest,saveLoadDocument,[junit:junit]
zemberek.corpus,WebDocument,getContentAsString,[com.google.guava:guava]
zemberek.normalization,CharacterGraphDecoderTest,multiWordDecodeTest,[junit:junit]
zemberek.core.collections,TrieTest,getAllTest,[junit:junit]
zemberek.morphology.apps,ZemberekNlpScripts,parseLargeVocabularyZemberek,[junit:junit]
zemberek.morphology.old_ambiguity,LmGenerator,generateArpaLm,[com.google.guava:guava]
zemberek.tokenization.antlr,TurkishLexer,getATN,[org.antlr:antlr4-runtime]
zemberek.morphology.morphotactics,SuffixTransition,"",[com.google.guava:guava]
zemberek.apps.lm,GenerateVocabulary,getWordsFromFile,[com.google.guava:guava]
zemberek.core.collections,IntIntMapTest,checkSpanRemoved,[junit:junit]
zemberek.core.math,FloatArraysTest,testAppendZeros,[junit:junit]
zemberek.morphology.analysis,NounDerivationTest,condTest,[junit:junit]
zemberek.core.io,StringsTest,testRightPad_StringIntChar,[junit:junit]
zemberek.morphology.ambiguity,RuleBasedDisambiguator,checkInput,[com.google.guava:guava]
zemberek.scratchpad,ExtractTurkishCityDistrictNames,"",[com.google.guava:guava]
zemberek.morphology.ambiguity,DataConverter,extract,[com.google.guava:guava]
zemberek.morphology.analysis,VerbsTest,passive2,[junit:junit]
zemberek.morphology.lexicon.tr,TurkishDictionaryLoaderTest,loadNounsFromFileTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.collections,IntFloatMapTest,getTest2,[junit:junit]
zemberek.core.collections,LongBitVectorTest,setGetLastBitIndex,[junit:junit]
zemberek.core.math,DoubleArraysTest,testSum,[junit:junit]
zemberek.lm.compression,SmoothLmTest,testActualData,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,AdverbsTest,advTest2,[junit:junit]
zemberek.morphology.analysis,VerbsTest,progressiveDrop,[junit:junit]
zemberek.normalization,CharacterGraphDecoderTest,check1Distance,[junit:junit]
zemberek.lm.compression,SmoothLmTest,testTrigramBackoff,[junit:junit]
zemberek.morphology.analysis,NounsTest,family1,[junit:junit]
zemberek.tokenization,SentenceExtractionComparison,evaluate,[com.google.guava:guava]
zemberek.tokenization,TurkishTokenizer,getTokenIterator,[org.antlr:antlr4-runtime]
zemberek.apps.grpc,StartGrpcServer,"",[com.beust:jcommander]
zemberek.core.collections,TrieTest,createitems,[com.google.guava:guava]
zemberek.core.math,DoubleArraysTest,testValidateArraysArgExc,[junit:junit]
zemberek.tokenization,TurkishTokenizerTest,testInstances,[junit:junit]
zemberek.core.io,SimpleTextReaderTest,multilineConstarintTest,[junit:junit]
zemberek.morphology.analysis,PronounsTest,tumuTest,[junit:junit]
zemberek.tokenization,TurkishSentenceExtractorTest,shouldExtractSentences1,[junit:junit]
zemberek.core.collections,IntIntMapTest,putGetCheck,[junit:junit]
zemberek.core.io,SimpleTextWriterTest,WriteStringKeepOpenTest,[junit:junit]
zemberek.core.io,StringsTest,insertFromRightExceptionTest2,[junit:junit]
zemberek.core.math,DoubleArraysTest,testSquaredSum,[junit:junit]
zemberek.dependency,ConllTreebankReader,dumpStats,[com.google.guava:guava]
zemberek.morphology.analysis,AnalysisFormatterTest,defaultLexicalFormatterTest,[junit:junit]
zemberek.morphology.analysis,NounDerivationTest,narrTest,[junit:junit]
zemberek.morphology.analysis,NounDerivationTest,pastTest,[junit:junit]
zemberek.core.collections,IntFloatMapTest,removeRemovesCorrectly,[junit:junit]
zemberek.core.collections,IntValueMapTest,constructorTest2,[junit:junit]
zemberek.core.embeddings,FastTextTrainer,"",[com.google.guava:guava]
