packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.ansj.recognition.impl,DicRecognition,org.nlpcn:nlp-lang,"",nlp,8,8,1.0
org.ansj.splitWord,Analysis,org.nlpcn:nlp-lang,"",nlp,33,33,1.0
org.ansj.app.crf.model,WapitiCRFModelTest,org.nlpcn:nlp-lang,"",nlp,2,23,0.09
org.ansj.app.crf.model,WapitiCRFModelTest,junit:junit,Testing Frameworks,"testing,junit",21,23,0.91
org.ansj.demo,NlpDemoTest,org.nlpcn:nlp-lang,"",nlp,7,7,1.0
org.ansj.ansj_lucene4_plug,Test,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
org.ansj.ansj_lucene5_plug,TestToken,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,34,0.68
org.ansj.ansj_lucene5_plug,TestToken,org.ansj:ansj_seg,"","",11,34,0.32
org.ansj.splitWord.analysis,DicAnalysis,org.nlpcn:nlp-lang,"",nlp,25,25,1.0
org.ansj.recognition.impl,StopRecognition,org.nlpcn:nlp-lang,"",nlp,5,5,1.0
org.ansj.recognition.arrimpl,PersonRecognitionTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.splitWord.analysis,ToAnalysis,org.nlpcn:nlp-lang,"",nlp,5,5,1.0
org.ansj.app.crf,ConfigTest,junit:junit,Testing Frameworks,"testing,junit",33,33,1.0
org.ansj.splitWord.analysis,IndexAnalysisTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.ansj_lucene5_plug,IndexAndTest,junit:junit,Testing Frameworks,"testing,junit",1,106,0.01
org.ansj.ansj_lucene5_plug,IndexAndTest,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",5,106,0.05
org.ansj.ansj_lucene5_plug,IndexAndTest,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",3,106,0.03
org.ansj.ansj_lucene5_plug,IndexAndTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",75,106,0.71
org.ansj.ansj_lucene5_plug,IndexAndTest,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",10,106,0.09
org.ansj.ansj_lucene5_plug,IndexAndTest,org.ansj:ansj_seg,"","",12,106,0.11
org.ansj.recognition.impl,IDCardRecognitionTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.app.extracting,LexicalTest,org.nlpcn:nlp-lang,"",nlp,4,5,0.8
org.ansj.app.extracting,LexicalTest,junit:junit,Testing Frameworks,"testing,junit",1,5,0.2
org.ansj.app.extracting,TokenTest,junit:junit,Testing Frameworks,"testing,junit",13,13,1.0
org.ansj.recognition.impl,UserDicNatureRecognitionTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.ansj_lucene4_plug,IndexTest,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",10,119,0.08
org.ansj.ansj_lucene4_plug,IndexTest,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",6,119,0.05
org.ansj.ansj_lucene4_plug,IndexTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",98,119,0.82
org.ansj.ansj_lucene4_plug,IndexTest,org.ansj:ansj_seg,"","",2,119,0.02
org.ansj.ansj_lucene4_plug,IndexTest,junit:junit,Testing Frameworks,"testing,junit",3,119,0.03
org.ansj.app.summary,TagContentTest,org.nlpcn:nlp-lang,"",nlp,17,25,0.68
org.ansj.app.summary,TagContentTest,junit:junit,Testing Frameworks,"testing,junit",8,25,0.32
org.ansj.library,AmbiguityLibrary,org.nlpcn:nlp-lang,"",nlp,78,78,1.0
org.ansj.recognition.impl,ExtractingRecognition,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.recognition.impl,KilobitRecognitionTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.ansj.lucene4,AnsjIndexAnalysis,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,6,0.83
org.ansj.lucene4,AnsjIndexAnalysis,org.ansj:ansj_seg,"","",1,6,0.17
org.ansj.recognition.impl,FilterRecognitionTest,junit:junit,Testing Frameworks,"testing,junit",18,18,1.0
org.ansj.recognition.impl,SynonymsRecgnition,org.nlpcn:nlp-lang,"",nlp,14,14,1.0
org.ansj.app.crf,Config,org.nlpcn:nlp-lang,"",nlp,7,7,1.0
org.ansj.app.crf,MakeTrainFile,org.nlpcn:nlp-lang,"",nlp,20,20,1.0
org.ansj.test,RealNameTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.recognition.arrimpl,PersonRecognition,org.nlpcn:nlp-lang,"",nlp,31,31,1.0
org.ansj.recognition.impl,UserDicNatureRecognition,org.nlpcn:nlp-lang,"",nlp,18,18,1.0
org.ansj.app.crf,ModelTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.ansj.splitWord.analysis,NlpAnalysis,org.nlpcn:nlp-lang,"",nlp,22,22,1.0
