packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
zemberek.apps.ner,EvaluateNer,com.beust:jcommander,Command Line Parsers,"cli,parser",3,8,0.38
zemberek.apps.ner,EvaluateNer,com.google.guava:guava,Core Utilities,google,5,8,0.63
zemberek.morphology.analysis,StemTransitionTrieBasedTest,junit:junit,Testing Frameworks,"testing,junit",14,14,1.0
zemberek.normalization,SpellCheckerPerformanceTests,junit:junit,Testing Frameworks,"testing,junit",2,9,0.22
zemberek.normalization,SpellCheckerPerformanceTests,com.google.guava:guava,Core Utilities,google,7,9,0.78
zemberek.core.collections,FloatValueMapTest,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
zemberek.apps.ner,NerAppBase,com.beust:jcommander,Command Line Parsers,"cli,parser",2,2,1.0
zemberek.core.collections,HistogramTest,junit:junit,Testing Frameworks,"testing,junit",37,55,0.67
zemberek.core.collections,HistogramTest,com.google.guava:guava,Core Utilities,google,18,55,0.33
zemberek.apps.fasttext,TrainClassifier,com.beust:jcommander,Command Line Parsers,"cli,parser",7,7,1.0
zemberek.classification,QuestionClassifier,com.google.guava:guava,Core Utilities,google,6,6,1.0
zemberek.lm,LmVocabularyTest,com.google.guava:guava,Core Utilities,google,20,108,0.19
zemberek.lm,LmVocabularyTest,junit:junit,Testing Frameworks,"testing,junit",88,108,0.81
zemberek.lm,LmVocabulary,com.google.guava:guava,Core Utilities,google,6,6,1.0
zemberek.normalization,SingleWordSpellCheckerTest,junit:junit,Testing Frameworks,"testing,junit",31,31,1.0
zemberek.morphology.analysis,NumeralTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
zemberek.morphology.morphotactics,SuffixTransition,com.google.guava:guava,Core Utilities,google,8,8,1.0
zemberek.scratchpad,ExtractTurkishCityDistrictNames,com.google.guava:guava,Core Utilities,google,12,12,1.0
zemberek.core.math,FloatArrays,com.google.guava:guava,Core Utilities,google,5,5,1.0
zemberek.grpc.server,ZemberekGrpcServer,io.grpc:grpc-netty-shaded,"","network,grpc,socket,netty,io,rpc,protocol",1,1,1.0
zemberek.embedding.fasttext,AutomaticLabelingExperiment,com.google.guava:guava,Core Utilities,google,5,5,1.0
zemberek.apps.grpc,StartGrpcServer,com.beust:jcommander,Command Line Parsers,"cli,parser",2,2,1.0
zemberek.core.math,LogMathTest,com.google.guava:guava,Core Utilities,google,26,57,0.46
zemberek.core.math,LogMathTest,junit:junit,Testing Frameworks,"testing,junit",31,57,0.54
zemberek.keyphrase,TurkishStopWords,com.google.guava:guava,Core Utilities,google,3,3,1.0
zemberek.normalization,HunspellOperations,com.google.guava:guava,Core Utilities,google,8,8,1.0
zemberek.core.embeddings,FastTextTrainer,com.google.guava:guava,Core Utilities,google,19,19,1.0
zemberek.morphology.analysis,NounCompoundsTest,junit:junit,Testing Frameworks,"testing,junit",13,13,1.0
zemberek.scratchpad,Syllables,com.google.guava:guava,Core Utilities,google,15,15,1.0
zemberek.morphology.analysis,StemTransitionsBase,com.google.guava:guava,Core Utilities,google,16,16,1.0
zemberek.morphology,TurkishMorphologyFunctionalTests,junit:junit,Testing Frameworks,"testing,junit",141,141,1.0
zemberek.tokenization,TrainableTokenizer,com.google.guava:guava,Core Utilities,google,2,2,1.0
zemberek.morphology.analysis,InformalTurkishAnalysisTest,junit:junit,Testing Frameworks,"testing,junit",8,8,1.0
zemberek.morphology.analysis,PunctuationTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
zemberek.morphology.analysis,SingleAnalysisTest,junit:junit,Testing Frameworks,"testing,junit",75,75,1.0
zemberek.core,Range,com.google.guava:guava,Core Utilities,google,4,4,1.0
zemberek.corpus,LuceneLemmaFilter,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,26,0.04
zemberek.corpus,LuceneLemmaFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",25,26,0.96
zemberek.ner,NerDataSet,com.google.guava:guava,Core Utilities,google,5,5,1.0
zemberek.normalization,BotExperiment,com.google.guava:guava,Core Utilities,google,5,5,1.0
zemberek.corpus,WebDocumentTest,com.google.guava:guava,Core Utilities,google,3,6,0.5
