packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.ansj.demo,ReloadAmbiguityLibrary,loadFormStr,org.nlpcn:nlp-lang,"",nlp,8,8,1.0
org.ansj.lucene4,AnsjAnalysis,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
org.ansj.recognition.impl,URLRecognitionTest,recognition,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
org.ansj.app.summary,TagContentTest,test3,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.library,DicLibraryTest,insertTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.ansj.ansj_lucene_plug,HeightLightTest2,main,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",6,14,0.43
org.ansj.ansj_lucene_plug,HeightLightTest2,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,14,0.57
org.ansj.app.crf.model,WapitiCRFModelTest,init,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.library,DicLibrary,reload,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.splitWord.analysis,ToAnalysisTest,test,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.recognition.arrimpl,NewWordRecognition,"",org.nlpcn:nlp-lang,"",nlp,4,4,1.0
org.ansj.app.crf.model,CRFppTxtModelTest,loadModelInputStringTest1,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
org.ansj.demo,JianFanZhuanhuanDemo,main,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.recognition.impl,DicRecognitionTest,recognition1,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.ansj.splitWord,Analysis,getAmbiguityForest,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.splitWord.analysis,NlpAnalysisTest,test,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.app.crf.model,CRFppTxtModelTest,before,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.splitWord,Analysis,setAmbiguityForest,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.app.crf.model,WapitiCRFModelTest,cute,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.library,AmbiguityLibrary,get,org.nlpcn:nlp-lang,"",nlp,14,14,1.0
org.ansj.library,CrfLibrary,initCRFModel,org.nlpcn:nlp-lang,"",nlp,6,6,1.0
org.ansj.recognition.impl,DicRecognition,"",org.nlpcn:nlp-lang,"",nlp,7,7,1.0
org.ansj.util,MyStaticValue,initBigramTables,org.nlpcn:nlp-lang,"",nlp,11,11,1.0
org.ansj.lucene3,AnsjIndexAnalysis,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
org.ansj.library,NatureLibrary,"",org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.recognition.impl,BookRecognitionTest,test,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.splitWord.analysis,IndexAnalysis,parse,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.ansj_lucene_plug,HeightLightTest,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",48,48,1.0
org.ansj.app.crf.model,WapitiCRFModel,loadFeatureWeight,org.nlpcn:nlp-lang,"",nlp,23,23,1.0
org.ansj.ansj_lucene5_plug,IndexAndTest,toHighlighter,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",10,24,0.42
org.ansj.ansj_lucene5_plug,IndexAndTest,toHighlighter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,24,0.58
org.ansj.recognition.impl,FilterRecognitionTest,insertStopWordsTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.ansj.util,MyStaticValue,putLibrary,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.app.extracting,Extracting,"",org.nlpcn:nlp-lang,"",nlp,6,6,1.0
org.ansj.app.phrase,PhraseExtractor,calculateScore,org.nlpcn:nlp-lang,"",nlp,14,14,1.0
org.ansj.ansj_lucene5_plug,HeightLightTest,toHighlighter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,24,0.58
org.ansj.ansj_lucene5_plug,HeightLightTest,toHighlighter,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",10,24,0.42
org.ansj.lucene5,AnsjAnalyzer,getTokenizer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,79,0.01
org.ansj.lucene5,AnsjAnalyzer,getTokenizer,org.ansj:ansj_seg,"","",49,79,0.62
org.ansj.lucene5,AnsjAnalyzer,getTokenizer,org.nlpcn:nlp-lang,"",nlp,29,79,0.37
org.ansj.app.crf.model,CRFModel,loadModel,org.nlpcn:nlp-lang,"",nlp,8,8,1.0
org.ansj.demo,ReloadUserLibrary,loadFormFile,org.nlpcn:nlp-lang,"",nlp,4,4,1.0
org.ansj.recognition.impl,NatureRecognition,"",org.nlpcn:nlp-lang,"",nlp,14,14,1.0
org.ansj.app.crf.model,WapitiCRFModel,loadModel,org.nlpcn:nlp-lang,"",nlp,22,22,1.0
org.ansj.lucene3,AnsjAnalysis,tokenStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,2,0.5
org.ansj.lucene3,AnsjAnalysis,tokenStream,org.ansj:ansj_seg,"","",1,2,0.5
org.ansj.app.extracting,Lexical,parse,org.nlpcn:nlp-lang,"",nlp,6,6,1.0
org.ansj.demo,NewWordFindDemo,main,org.nlpcn:nlp-lang,"",nlp,5,5,1.0
org.ansj.library,NatureLibrary,init,org.nlpcn:nlp-lang,"",nlp,6,6,1.0
org.ansj.splitWord,Analysis,analysisStr,org.nlpcn:nlp-lang,"",nlp,11,11,1.0
org.ansj.splitWord.analysis,DicAnalysis,parse,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.domain,ResultTest,toStringWithOutNatureTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.library,AmbiguityLibrary,put,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.recognition.impl,IDCardRecognitionTest,test,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.ansj.recognition.impl,StopRecognition,insertStopRegexes,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.dic,LearnTool,"",org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.app.extracting,Extracting,addRuleStr,org.nlpcn:nlp-lang,"",nlp,2,2,1.0
org.ansj.library,DicLibraryTest,init,junit:junit,Testing Frameworks,"testing,junit",1,4,0.25
org.ansj.library,DicLibraryTest,init,org.nlpcn:nlp-lang,"",nlp,3,4,0.75
org.ansj.library,SynonymsLibrary,put,org.nlpcn:nlp-lang,"",nlp,3,3,1.0
org.ansj.dic,LearnTool,getTopTree,org.nlpcn:nlp-lang,"",nlp,8,8,1.0
org.ansj.ansj_lucene5_plug,IndexAndTest,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",29,34,0.85
