packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.ansj.dic.impl,junit:junit,Testing Frameworks,"testing,junit",1,7,0.14
org.ansj.dic.impl,org.nlpcn:nlp-lang,"",nlp,6,7,0.86
org.ansj.lucene7,org.nlpcn:nlp-lang,"",nlp,32,91,0.35
org.ansj.lucene7,org.ansj:ansj_seg,"","",50,91,0.55
org.ansj.lucene7,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,91,0.1
org.ansj.lucene.util,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",3,378,0.01
org.ansj.lucene.util,org.nlpcn:nlp-lang,"",nlp,9,378,0.02
org.ansj.lucene.util,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",146,378,0.39
org.ansj.lucene.util,org.ansj:ansj_seg,"","",220,378,0.58
org.ansj,junit:junit,Testing Frameworks,"testing,junit",1,4,0.25
org.ansj,org.nlpcn:nlp-lang,"",nlp,3,4,0.75
org.ansj.test,org.nlpcn:nlp-lang,"",nlp,17,20,0.85
org.ansj.test,junit:junit,Testing Frameworks,"testing,junit",3,20,0.15
org.ansj.recognition.arrimpl,org.nlpcn:nlp-lang,"",nlp,114,116,0.98
org.ansj.recognition.arrimpl,junit:junit,Testing Frameworks,"testing,junit",2,116,0.02
org.ansj.lucene5,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,89,0.08
org.ansj.lucene5,org.ansj:ansj_seg,"","",50,89,0.56
org.ansj.lucene5,org.nlpcn:nlp-lang,"",nlp,32,89,0.36
org.ansj.lucene6,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,89,0.08
org.ansj.lucene6,org.nlpcn:nlp-lang,"",nlp,32,89,0.36
org.ansj.lucene6,org.ansj:ansj_seg,"","",50,89,0.56
org.ansj.domain,junit:junit,Testing Frameworks,"testing,junit",4,11,0.36
org.ansj.domain,org.nlpcn:nlp-lang,"",nlp,7,11,0.64
org.ansj.splitWord.impl,org.nlpcn:nlp-lang,"",nlp,7,7,1.0
org.ansj.app.extracting.domain,org.nlpcn:nlp-lang,"",nlp,8,8,1.0
org.ansj.app.keyword,org.nlpcn:nlp-lang,"",nlp,4,19,0.21
org.ansj.app.keyword,junit:junit,Testing Frameworks,"testing,junit",15,19,0.79
org.ansj.ansj_lucene5_plug,org.ansj:ansj_seg,"","",65,459,0.14
org.ansj.ansj_lucene5_plug,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",30,459,0.07
org.ansj.ansj_lucene5_plug,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",331,459,0.72
org.ansj.ansj_lucene5_plug,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",17,459,0.04
org.ansj.ansj_lucene5_plug,junit:junit,Testing Frameworks,"testing,junit",6,459,0.01
org.ansj.ansj_lucene5_plug,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",10,459,0.02
org.ansj.lucene3,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",81,83,0.98
org.ansj.lucene3,org.ansj:ansj_seg,"","",2,83,0.02
org.ansj.library,junit:junit,Testing Frameworks,"testing,junit",13,432,0.03
org.ansj.library,org.nlpcn:nlp-lang,"",nlp,419,432,0.97
org.ansj.splitWord.analysis,junit:junit,Testing Frameworks,"testing,junit",17,112,0.15
org.ansj.splitWord.analysis,org.nlpcn:nlp-lang,"",nlp,95,112,0.85
org.ansj.util,org.nlpcn:nlp-lang,"",nlp,89,89,1.0
org.ansj.ansj_lucene4_plug,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",10,136,0.07
org.ansj.ansj_lucene4_plug,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",6,136,0.04
org.ansj.ansj_lucene4_plug,org.ansj:ansj_seg,"","",2,136,0.01
org.ansj.ansj_lucene4_plug,junit:junit,Testing Frameworks,"testing,junit",3,136,0.02
org.ansj.ansj_lucene4_plug,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",115,136,0.85
org.ansj.app.summary,junit:junit,Testing Frameworks,"testing,junit",8,107,0.07
org.ansj.app.summary,org.nlpcn:nlp-lang,"",nlp,99,107,0.93
org.ansj.splitWord,org.nlpcn:nlp-lang,"",nlp,33,33,1.0
org.ansj.ansj_lucene_plug,org.apache.lucene:lucene-highlighter,"","lucene,apache,index",86,1074,0.08
org.ansj.ansj_lucene_plug,org.ansj:ansj_seg,"","",130,1074,0.12
org.ansj.ansj_lucene_plug,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",40,1074,0.04
org.ansj.ansj_lucene_plug,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",20,1074,0.02
org.ansj.ansj_lucene_plug,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",786,1074,0.73
org.ansj.ansj_lucene_plug,junit:junit,Testing Frameworks,"testing,junit",12,1074,0.01
org.ansj.solr,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",8,20,0.4
org.ansj.solr,org.ansj:ansj_lucene4_plug,"","lucene,index",4,20,0.2
org.ansj.solr,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,20,0.2
org.ansj.solr,org.ansj:ansj_seg,"","",4,20,0.2
org.ansj.recognition.impl,junit:junit,Testing Frameworks,"testing,junit",63,157,0.4
org.ansj.recognition.impl,org.nlpcn:nlp-lang,"",nlp,94,157,0.6
org.ansj.app.extracting,org.nlpcn:nlp-lang,"",nlp,44,76,0.58
org.ansj.app.extracting,junit:junit,Testing Frameworks,"testing,junit",32,76,0.42
org.ansj.lucene4,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,12,0.83
org.ansj.lucene4,org.ansj:ansj_seg,"","",2,12,0.17
org.ansj.dic,org.nlpcn:nlp-lang,"",nlp,60,60,1.0
org.ansj.app.crf,junit:junit,Testing Frameworks,"testing,junit",51,106,0.48
org.ansj.app.crf,org.nlpcn:nlp-lang,"",nlp,55,106,0.52
org.ansj.app.crf.model,junit:junit,Testing Frameworks,"testing,junit",52,210,0.25
org.ansj.app.crf.model,org.nlpcn:nlp-lang,"",nlp,158,210,0.75
org.ansj.app.phrase,org.nlpcn:nlp-lang,"",nlp,53,53,1.0
org.ansj.demo,org.nlpcn:nlp-lang,"",nlp,53,53,1.0
